2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Starting skill extraction (top_n=20).
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Raw detected skills (3): ['Python', 'Django', 'FastAPI']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | After stack expansion (3): ['Python', 'Django', 'FastAPI']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | After deduplication (3): ['Python', 'Django', 'FastAPI']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Extraction complete. Returning 3 skills (of 3 detected).
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Starting skill extraction (top_n=20).
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Raw detected skills (0): []
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | After stack expansion (4): ['MongoDB', 'Express', 'React', 'Node']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | After deduplication (4): ['MongoDB', 'Express', 'React', 'Node']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Extraction complete. Returning 4 skills (of 4 detected).
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Starting skill extraction (top_n=20).
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Raw detected skills (2): ['React', 'Node']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | After stack expansion (2): ['React', 'Node']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | After deduplication (2): ['React', 'Node']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Extraction complete. Returning 2 skills (of 2 detected).
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Starting skill extraction (top_n=20).
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Raw detected skills (1): ['Python']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | After stack expansion (1): ['Python']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | After deduplication (1): ['Python']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Extraction complete. Returning 1 skills (of 1 detected).
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Starting skill extraction (top_n=20).
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Raw detected skills (1): ['Python']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | After stack expansion (1): ['Python']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | After deduplication (1): ['Python']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Extraction complete. Returning 1 skills (of 1 detected).
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Starting skill extraction (top_n=20).
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Raw detected skills (1): ['Python']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | After stack expansion (1): ['Python']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | After deduplication (1): ['Python']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Extraction complete. Returning 1 skills (of 1 detected).
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Starting skill extraction (top_n=20).
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Raw detected skills (3): ['Python', 'Django', 'React']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | After stack expansion (3): ['Python', 'Django', 'React']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | After deduplication (3): ['Python', 'Django', 'React']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Extraction complete. Returning 3 skills (of 3 detected).
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Converted 3 skill dicts to SkillObject instances.
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Starting skill extraction (top_n=20).
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Raw detected skills (2): ['Communication', 'Leadership']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | After stack expansion (2): ['Communication', 'Leadership']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | After deduplication (2): ['Communication', 'Leadership']
2026-05-16 17:29:49 | INFO     | ats_engine.skill_extractor | Extraction complete. Returning 2 skills (of 2 detected).
2026-05-16 17:34:22 | INFO     | parsers.section_classifier | classify() complete. Sections detected: ['summary', 'skills', 'experience', 'projects', 'education', 'certifications']
2026-05-16 17:34:22 | INFO     | parsers.section_classifier | classify() complete. Sections detected: ['summary', 'skills', 'experience', 'projects', 'education', 'certifications']
2026-05-16 17:34:22 | INFO     | parsers.section_tagger | Tagging sections for candidate 'TEST-001'. Raw sections: ['header', 'other', 'summary', 'skills', 'experience', 'projects', 'education', 'certifications']
2026-05-16 17:34:22 | INFO     | parsers.section_tagger | Tagging sections for candidate 'TEST-001'. Raw sections: ['header', 'other', 'summary', 'skills', 'experience', 'projects', 'education', 'certifications']
2026-05-16 17:34:22 | INFO     | parsers.section_tagger | Tagging complete for 'TEST-001'. Sections found: 6, Total lines processed: 88
