2026-08-18 12:07:39 | INFO     | __main__ | Starting Day 63 demo dataset run
2026-08-18 12:07:39 | INFO     | __main__ | Running full system pipeline for candidate_id=strong_automotive_candidate
2026-08-18 12:07:40 | INFO     | scoring.ats_scorer | Starting ATS scoring for job: 'Quality Engineer'.
2026-08-18 12:07:40 | INFO     | scoring.ats_scorer | Must-have filter passed: met 5/5 (need 3).
2026-08-18 12:07:40 | INFO     | scoring.ats_scorer | _score_skills(): matched 9/9, score=100.00.
2026-08-18 12:07:40 | INFO     | ats_engine.experience_parser | Relevance score for 'Quality Engineer': 0.61 (total months: 110).
2026-08-18 12:07:40 | INFO     | scoring.ats_scorer | _score_experience(): total=110 months, relevance=0.61, score=76.60.
2026-08-18 12:07:40 | INFO     | parsers.education_parser | Education relevance: score=1.00, level=bachelors, field_matched=True.
2026-08-18 12:07:40 | INFO     | parsers.education_parser | Education relevance: score=1.00, level=bachelors, field_matched=True.
2026-08-18 12:07:40 | INFO     | scoring.ats_scorer | _score_education(): level=bachelors, field_matched=True, score=100.00.
2026-08-18 12:07:40 | INFO     | parsers.education_parser | Certification relevance: score=0.00, relevant=0/3.
2026-08-18 12:07:40 | INFO     | parsers.education_parser | Certification relevance: score=0.00, relevant=0/3.
2026-08-18 12:07:40 | INFO     | scoring.ats_scorer | _score_certifications(): total=3, relevant=0, score=10.00.
2026-08-18 12:07:40 | INFO     | scoring.ats_scorer | Scoring complete — final_score=73.26, shortlisted=True, label=Moderate Match.
2026-08-18 12:07:40 | INFO     | interview_ai.communication_engine | calculate_communication_score ->cx score=100.00, level=Excellent, word_count=150
2026-08-18 12:07:40 | INFO     | interview_ai.confidence_analyzer | calculate_confidence confidence_score=77.50
2026-08-18 12:07:40 | INFO     | interview_ai.sentiment_engine | detect_sentiment pos_count=0 neg_count=1 result=sentiment='Negative' sentiment_score=0.2
2026-08-18 12:07:40 | INFO     | interview_ai.behavior_analyzer | analyze_behavior behavioral_score=72.75
2026-08-18 12:07:40 | INFO     | interview_ai.hr_scoring_engine | HR interview scored: hr_score=92.62, decision=Strong Hire
